id,fasta,taxonomy
Aaur,/users/asebe/xgraubove/genomes/data/Aaur_long.pep.fasta,Cnidaria
Acagra,/users/asebe/xgraubove/genomes/data/Acagra_long.pep.fasta,Protostomia
Adig,/users/asebe/xgraubove/genomes/data/Adig_long.pep.fasta,Cnidaria
Aedaeg,/users/asebe/xgraubove/genomes/data/Aedaeg_long.pep.fasta,Protostomia
Amil,/users/asebe/xgraubove/genomes/data/Amil_long.pep.fasta,Cnidaria
Ampfan,/users/asebe/xgraubove/genomes/data/Ampfan_long.pep.fasta,Protostomia
Annjap,/users/asebe/xgraubove/genomes/data/Annjap_long.pep.fasta,Deuterostomia
Anocar,/users/asebe/xgraubove/genomes/data/Anocar_long.pep.fasta,Deuterostomia
Anogam,/users/asebe/xgraubove/genomes/data/Anogam_long.pep.fasta,Protostomia
Apimel,/users/asebe/xgraubove/genomes/data/Apimel_long.pep.fasta,Protostomia
Apla,/users/asebe/xgraubove/genomes/data/Apla_long.pep.fasta,Deuterostomia
Aplcal,/users/asebe/xgraubove/genomes/data/Aplcal_long.pep.fasta,Protostomia
Apojap,/users/asebe/xgraubove/genomes/data/Apojap_long.pep.fasta,Deuterostomia
Aque,/users/asebe/xgraubove/genomes/data/Aque_long.pep.fasta,Porifera
Argarg,/users/asebe/xgraubove/genomes/data/Argarg_long.pep.fasta,Protostomia
Astrub,/users/asebe/xgraubove/genomes/data/Astrub_long.pep.fasta,Deuterostomia
Beraby,/users/asebe/xgraubove/genomes/data/Beraby_long.pep.fasta,Ctenophora
Berova,/users/asebe/xgraubove/genomes/data/Berova_long.pep.fasta,Ctenophora
Bflo,/users/asebe/xgraubove/genomes/data/Bflo_long.pep.fasta,Deuterostomia
Biogla,/users/asebe/xgraubove/genomes/data/Biogla_long.pep.fasta,Protostomia
Bolinf,/users/asebe/xgraubove/genomes/data/Bolinf_long.pep.fasta,Ctenophora
Bolmic,/users/asebe/xgraubove/genomes/data/Bolmic_long.pep.fasta,Ctenophora
Bommor,/users/asebe/xgraubove/genomes/data/Bommor_long.pep.fasta,Protostomia
Botlea,/users/asebe/xgraubove/genomes/data/Botlea_long.pep.fasta,Deuterostomia
Brabel,/users/asebe/xgraubove/genomes/data/Brabel_long.pep.fasta,Deuterostomia
Bracal,/users/asebe/xgraubove/genomes/data/Bracal_long.pep.fasta,Protostomia
Bralan,/users/asebe/xgraubove/genomes/data/Bralan_long.pep.fasta,Deuterostomia
Brapli,/users/asebe/xgraubove/genomes/data/Brapli_long.pep.fasta,Protostomia
Brumal,/users/asebe/xgraubove/genomes/data/Brumal_long.pep.fasta,Protostomia
Bugner,/users/asebe/xgraubove/genomes/data/Bugner_long.pep.fasta,Protostomia
Calmil,/users/asebe/xgraubove/genomes/data/Calmil_long.pep.fasta,Deuterostomia
Cele,/users/asebe/xgraubove/genomes/data/Cele_long.pep.fasta,Protostomia
Cfra,/users/asebe/xgraubove/genomes/data/Cfra_long.pep.fasta,Teretosporea
Cgig,/users/asebe/xgraubove/genomes/data/Cgig_long.pep.fasta,Protostomia
Chem,/users/asebe/xgraubove/genomes/data/Chem_long.pep.fasta,Cnidaria
